Descripción del producto,Precio con descuento,Precio sin descuento,Descuento,Categoría,Subcategoría,Imagen,Atributos,Fecha y hora de extracción
Galaxy Tab S10 Ultra Wi-Fi 256GB,"US$ 1,300.00",,,Mobile,Tablets,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-x920n_galaxy-tab-s10ultra_00_thumb.png,"['Obtén una visión cristalina y cómoda con Dynamic AMOLED 2X Anti-Reflection.', 'Procesador Dimensity 9300+.', 'Resistente al agua y al polvo.', 'Compatible con adaptador (45 W) y cargador inalámbrico.']",2025-03-30 16:23:50
Galaxy Tab S10+ Wi-Fi 256GB,"US$ 1,099.00",,,Mobile,Tablets,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-x820n_galaxy-tab-s10_00_thumb_2.png,"['Obtén una visión cristalina y cómoda con Dynamic AMOLED 2X Anti-Reflection.', 'Procesador Dimensity 9300+.', 'Resistente al agua y al polvo.', 'Compatible con adaptador (45 W) y cargador inalámbrico.']",2025-03-30 16:24:32
Galaxy Tab A9 Wi-Fi 64GB,US$ 99.00,,,Mobile,Tablets,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-x115_galaxytaba9_graphite_back-logo_thumb_2.png,"['Clásica y contemporánea.', 'Eleva tu capacidad y energía.', 'Diseñada para acompañarte a todos lados.', 'Compatible con adaptador (15 W).', 'Memoria: 4GB RAM y 64GB memoria interna.']",2025-03-30 16:25:15
Galaxy Watch Ultra 47mm,US$ 429.00,US$ 649.00,- 34%,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-l705_000_thumb_2.png,"['Conocimientos de salud gracias a la tecnología de Galaxy AI', 'Resistencia al agua a 10 ATM', 'Hasta 100 horas de duración de la batería']",2025-03-30 16:25:48
Galaxy Watch7 44mm,US$ 269.00,US$ 329.00,- 18%,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-l310-sm-l315_001_front_all_thumb.png,"['Información de salud de Galaxy AI.', 'Entrenamiento personalizado para dormir.', 'Seguimiento avanzado de la actividad física.', 'Nuevo procesador de 3nm que potencia tu rutina diaria.', 'GPS de doble frecuencia para un seguimiento preciso y consistente.']",2025-03-30 16:26:13
Galaxy Watch7 40mm,US$ 240.00,US$ 299.00,- 20%,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-l300-sm-l305_001_front-all_thumb_1.png,"['Entrenamiento personalizado para dormir.', 'Seguimiento avanzado de la actividad física.', 'Nuevo procesador de 3nm que potencia tu rutina diaria.', 'GPS de doble frecuencia para un seguimiento preciso y consistente.', 'Tu compañero diario con tecnología de AI.']",2025-03-30 16:26:39
Galaxy Watch FE,US$ 139.00,,,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-r861-watch6-fe_all_thumb_1_2.png,"['Diseñado con cristal de zafiro y resiste rayones y caídas.', 'A prueba de polvo y salpicaduras.', 'Más de 100 entrenamientos diferentes. También reconoce y registra tu actividad automáticamente.']",2025-03-30 16:27:23
Galaxy Fit3,US$ 69.00,,,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-r390_000-all_thumb_1.png,"['Hasta 13 días con una sola carga.', 'Seguimiento de sueño y más de 100 ejercicios y actividades diarias.', 'Pantalla Amoled de 1.6"".', 'Detecta caídas y brinda ayuda.']",2025-03-30 16:28:09
Galaxy Buds3 Pro,US$ 149.00,US$ 229.00,- 35%,Mobile,Auriculares,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-r630_000_case-front_all_thumb_1.png,"['Lo último en Hi-Fi.', 'Diseño icónico con Blade Lights.', 'Adaptive Noise Control.']",2025-03-30 16:28:44
Galaxy Buds3,US$ 125.00,US$ 159.00,- 21%,Mobile,Auriculares,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-r530_000_case-front_all_thumb_1.png,"['Lo último en Hi-Fi.', 'Nuevo diseño de tipo abierto.', 'Adaptive EQ/ANC.']",2025-03-30 16:29:13
